Country_x,Country Name,Uncertainty Avoidance Societal Practices,Future Orientation Societal Practices,Power Distance Societal Practices,Collectivism I Societal Practices (Institutional Collectivism),Humane Orientation Societal Practices,Performance Orientation Societal Practices,Collectivism II Societal Practices (In-group Collectivism),Gender Egalitarianism Societal Practices,Assertiveness Societal Practices ,Uncertainty Avoidance Societal Values,Future Orientation Societal Values,Power Distance Societal Values,Collectivism I Societal Values (Institutional Collectivism),Human Orientation Societal Values,Performance Orientation Societal Values,Collectivism II Societal Values (In-group Collectivism),Gender Egalitarianism Societal Values,Assertiveness Societal Values,Country Cluster_x,Country_y,Performance Oriented,Autocratic,Modesty,Charismatic 3: Self-sacrifice,Team 1: Collaborative Team Orientation,Decisive,Diplomatic,Face-saver,Charismatic 1: Visionary,Humane-oriented,Integrity,"Bureaucratic, Originally Labeled _Procedural_",Administratively Competent,Self-centred,Autonomous,Status Conscious,Charismatic 2: Inspirational,Malevolent,Team 2: Team Integrator,"Internally Competitive, Originally Labeled _Conflict Inducer_",Participative,Charismatic/Value-based Global Leadership Dimension,Team-Oriented Global Leadership Dimension,Self-Protective Global Leadership Dimension,Participative Global Leadership Dimension,Humane-Oriented Global Leadership Dimension,Autonomous Global Leadership Dimension,Country Cluster_y
2,England,4.65,4.28,5.15,4.27,3.72,4.08,4.08,3.67,4.15,4.11,5.06,2.8,4.31,5.43,5.9,5.55,5.17,3.7,Anglo,2,6.38,2.55,4.91,4.9,5.33,6.0,5.4,2.54,6.21,4.91,6.12,3.54,5.35,1.94,3.92,3.7,6.39,1.74,6.16,3.42,5.68,6.01,5.71,3.04,5.57,4.9,3.92,Anglo
3,Costa Rica,3.82,3.6,4.74,3.93,4.39,4.12,5.32,3.56,3.75,4.58,5.2,2.58,5.18,4.99,5.9,6.08,4.64,4.05,Latin America,3,6.15,2.46,5.48,5.67,5.74,5.66,5.14,2.72,6.06,4.37,6.18,3.98,5.86,1.96,3.46,5.08,6.1,1.71,6.05,4.17,5.53,5.95,5.81,3.55,5.54,4.99,3.46,Latin America
5,Italy,3.79,3.25,5.43,3.68,3.63,3.58,4.94,3.24,4.07,4.47,5.91,2.47,5.13,5.58,6.07,5.72,4.88,3.82,Latin Europe,5,6.18,2.64,4.67,5.2,5.53,6.09,5.7,2.6,6.24,4.04,6.06,3.61,5.69,2.01,3.62,4.47,6.14,1.75,6.14,3.67,5.57,5.98,5.87,3.25,5.47,4.38,3.62,Latin Europe
6,India,4.15,4.19,5.47,4.38,4.57,4.25,5.92,2.9,3.73,4.73,5.6,2.64,4.71,5.28,6.05,5.32,4.51,4.76,Southern Asia,6,5.96,3.1,5.33,5.45,5.51,5.83,5.7,3.57,6.02,5.17,5.99,4.1,5.98,2.63,3.85,4.18,5.93,2.35,5.83,4.24,5.07,5.85,5.72,3.77,4.99,5.26,3.85,Southern Asia
7,Namibia,4.2,3.49,5.29,4.13,3.96,3.67,4.52,3.88,3.91,5.13,6.12,2.86,4.38,5.4,6.4,6.07,4.25,3.91,Sub-Sahara Africa ,7,6.16,2.58,5.1,4.79,5.46,6.16,5.42,2.48,6.16,5.11,6.35,4.33,5.82,2.13,3.77,3.91,6.26,1.7,6.05,3.83,5.53,5.99,5.81,3.36,5.48,5.1,3.77,Sub-Sahara Africa 
8,Czech Republic,4.44,3.63,3.59,3.6,4.17,4.11,3.18,3.79,3.69,3.64,2.95,4.35,3.85,3.39,2.35,4.06,3.78,4.14,,8,6.19,2.04,4.72,5.72,5.42,5.37,5.58,2.53,5.91,4.43,6.41,3.68,6.14,2.25,4.65,2.37,6.03,1.41,5.64,4.4,5.74,5.91,5.87,3.13,5.85,4.58,4.65,
9,Venezuela,3.44,3.35,5.4,3.96,4.25,3.32,5.53,3.62,4.33,5.26,5.79,2.29,5.39,5.31,6.35,6.17,4.82,3.33,Latin America,9,6.05,3.0,5.04,5.56,5.14,5.4,5.39,3.53,5.74,4.64,5.89,4.41,5.78,2.89,3.39,4.32,5.81,2.18,6.01,3.74,4.78,5.72,5.62,3.81,4.88,4.85,3.39,Latin America
10,Taiwan,4.34,3.96,5.18,4.59,4.11,4.56,5.59,3.18,3.92,5.31,5.2,3.09,5.15,5.26,5.74,5.45,4.06,3.28,Confucian Asia,10,5.67,3.07,5.32,4.98,5.66,5.6,5.84,4.53,5.66,5.4,5.89,4.52,5.92,2.5,4.01,4.83,5.74,2.31,5.44,5.01,4.53,5.58,5.69,4.28,4.73,5.35,4.01,Confucian Asia
11,Singapore,5.31,5.07,4.99,4.9,3.49,4.9,5.64,3.7,4.17,4.22,5.51,3.04,4.55,5.79,5.72,5.5,4.51,4.41,Confucian Asia,11,6.11,2.73,5.35,5.39,5.41,5.85,5.58,3.19,6.17,5.1,6.15,3.81,5.71,2.05,3.87,3.78,6.09,1.83,5.94,3.64,5.32,5.95,5.76,3.31,5.3,5.24,3.87,Confucian Asia
12,Hong Kong,4.32,4.03,4.96,4.13,3.9,4.8,5.32,3.47,4.67,4.63,5.5,3.24,4.43,5.32,5.64,5.11,4.35,4.81,Confucian Asia,12,5.82,3.27,5.0,5.13,5.28,5.76,5.6,3.14,5.76,4.77,5.73,3.83,5.67,2.63,4.38,4.31,5.85,2.34,5.76,4.34,4.98,5.66,5.58,3.67,4.86,4.89,4.38,Confucian Asia
13,Ecuador,3.68,3.74,5.6,3.9,4.65,4.2,5.81,3.07,4.09,5.16,5.94,2.3,5.41,5.26,6.32,6.17,4.59,3.65,Latin America,13,6.64,2.5,5.46,5.99,5.99,6.29,5.66,2.57,6.5,4.71,6.79,4.3,6.35,1.83,3.53,5.13,6.63,1.39,6.43,4.45,5.51,6.46,6.21,3.62,5.51,5.13,3.53,Latin America
15,Mexico,4.18,3.87,5.22,4.06,3.98,4.1,5.71,3.64,4.45,5.26,5.86,2.85,4.92,5.1,6.16,5.95,4.73,3.79,Latin America,15,6.14,3.35,4.74,4.8,5.54,5.54,5.55,3.34,5.78,4.72,5.77,4.48,5.92,2.52,3.86,4.64,5.91,2.09,5.85,4.27,4.62,5.66,5.74,3.86,4.64,4.72,3.86,Latin America
16,El Salvador,3.62,3.8,5.68,3.71,3.71,3.72,5.35,3.16,4.62,5.32,5.98,2.68,5.65,5.46,6.58,6.52,4.66,3.62,Latin America ,16,6.22,2.64,5.13,5.81,5.62,5.78,5.26,2.81,6.21,4.15,6.29,4.34,6.17,1.74,3.47,4.56,6.25,1.61,6.34,3.81,5.44,6.08,5.95,3.43,5.4,4.69,3.47,Latin America 
17,Israel,4.01,3.85,4.73,4.46,4.1,4.08,4.7,3.19,4.23,4.38,5.25,2.72,4.27,5.62,5.75,5.75,4.71,3.76,Latin Europe,17,6.34,2.88,4.89,5.52,5.67,6.24,5.52,2.34,6.45,4.44,6.47,3.87,5.73,2.33,4.26,5.13,6.4,1.62,6.19,4.59,4.8,6.23,5.91,3.64,4.96,4.68,4.26,Latin Europe
18,Hungary,3.12,3.21,5.56,3.53,3.35,3.43,5.25,4.08,4.79,4.66,5.7,2.49,4.5,5.48,5.96,5.54,4.63,3.35,Eastern Europe,18,6.15,2.56,4.85,4.83,5.37,6.05,5.44,2.45,6.27,4.61,6.22,3.43,6.13,2.08,3.23,4.59,5.93,1.58,6.2,3.74,5.01,5.91,5.91,3.24,5.22,4.73,3.23,Eastern Europe
19,Russia,2.88,2.88,5.52,4.5,3.94,3.39,5.63,4.07,3.68,5.07,5.48,2.62,3.89,5.59,5.54,5.79,4.18,2.83,Eastern Europe,19,5.92,3.86,4.25,4.28,5.19,5.95,5.35,3.4,6.07,3.91,5.72,3.21,6.01,2.48,4.63,5.06,5.93,2.02,5.68,4.43,5.18,5.66,5.63,3.69,4.67,4.08,4.63,Eastern Europe
20,Zambia,4.1,3.62,5.31,4.61,5.23,4.16,5.84,2.86,4.07,4.67,5.9,2.43,4.74,5.53,6.24,5.77,4.31,4.38,Sub-Sahara Africa ,20,6.1,2.54,5.43,4.91,5.68,6.02,5.24,2.97,6.1,5.08,6.1,4.43,6.27,2.14,3.43,4.83,6.25,1.85,6.02,4.03,5.13,5.92,5.86,3.66,5.29,5.27,3.43,Sub-Sahara Africa 
21,Indonesia,4.17,3.86,5.18,4.54,4.69,4.41,5.68,3.26,3.86,5.23,5.7,2.69,5.18,5.16,5.73,5.67,3.89,4.72,Southern Asia,21,6.36,3.27,5.58,5.54,5.93,6.19,5.7,3.71,6.23,5.24,6.34,4.87,5.95,2.13,4.19,5.32,6.29,1.77,5.83,4.71,4.47,6.15,5.92,4.12,4.6,5.43,4.19,Southern Asia
